"","Genus","Species","Class","Tmax","REF_max","tmin","Binomial","Synonym","Accepted","Topt","Shapefile","Mass","SVL"
"1062","Sceloporus","woodi","Lepidosauria",44.2,"Brattstrom_1965",NA,"Sceloporus woodi",NA,NA,NA,TRUE,7.2,"55.25"
"1064","Anolis","oculatus","Lepidosauria",35.5,"Brooks_1968",NA,"Anolis oculatus",NA,NA,NA,TRUE,11,"98"
"1067","Cordylus","cordylus","Lepidosauria",41.6,"Clusella-Trullas_et_al_2009","7.5","Cordylus cordylus",NA,NA,NA,TRUE,17.3,"82"
"1068","Cordylus","niger","Lepidosauria",41,"Clusella-Trullas_et_al_2009","7.4","Cordylus niger",NA,NA,NA,TRUE,19,"92"
"1069","Cordylus","oelofseni","Lepidosauria",40.8,"Clusella-Trullas_et_al_2009","6.3","Cordylus oelofseni",NA,NA,NA,TRUE,10,"69"
"1070","Ctenophorus","fordi","Lepidosauria",45,"Cogger_1974",NA,"Ctenophorus fordi",NA,NA,NA,TRUE,4.1,"53.15"
"1071","Crotaphytus","collaris","Lepidosauria",46.5,"Cole_1943",NA,"Crotaphytus collaris","Agama collaris",NA,NA,TRUE,37.1,"102.45"
"1074","Dipsosaurus","dorsalis","Lepidosauria",47.5,"Cowles_&_Bogert_1944","14","Dipsosaurus dorsalis","Crotaphytus dorsalis",NA,40.3,TRUE,59,"115.06"
"1079","Phrynosoma","coronatum","Lepidosauria",46.7,"Cowles_&_Bogert_1944",NA,"Phrynosoma coronatum","Agama coronatum",NA,NA,TRUE,38,"114"
"1081","Sauromalus","obesus","Lepidosauria",45.6,"Cowles_&_Bogert_1944",NA,"Sauromalus obesus","Sauromalus obesus","Sauromalus ater",NA,TRUE,175,"171.5"
"1082","Uma","inornata","Lepidosauria",45,"Cowles_&_Bogert_1944",NA,"Uma inornata",NA,NA,39.4,TRUE,17.3,"124"
"1121","Phymaturus","tenebrosus","Lepidosauria",39.9,"Cruz_et_al_2009","9.8","Phymaturus tenebrosus",NA,NA,NA,TRUE,31.4,"98.28"
"1122","Phymaturus","zapalensis","Lepidosauria",42.4,"Cruz_et_al_2009","8.9","Phymaturus zapalensis",NA,NA,NA,TRUE,24.8,"82.36"
"1124","Elgaria","multicarinata","Lepidosauria",41.4,"Cunningham_1966","2.2","Elgaria multicarinata","Gerrhonotus multicarinatus",NA,34.6,TRUE,31.7,"100.6"
"1125","Plestiodon","obsoletus","Lepidosauria",42,"Dawson_1960",NA,"Plestiodon obsoletus",NA,NA,NA,TRUE,30,"101.35"
"1126","Plestiodon","elegans","Lepidosauria",41.9,"Du_et_al_2000","9.3","Plestiodon elegans",NA,NA,NA,TRUE,11.4,"84.3"
"1133","Carlia","longipes","Lepidosauria",40.3,"Greer_1980",NA,"Carlia longipes",NA,NA,NA,TRUE,5.7,"65.09"
"1135","Carlia","pectoralis","Lepidosauria",41.3,"Greer_1980",NA,"Carlia pectoralis",NA,NA,NA,TRUE,1.9,"44.45"
"1136","Carlia","rhomboidalis","Lepidosauria",41.2,"Greer_1980",NA,"Carlia rhomboidalis",NA,NA,NA,TRUE,2.5,"48.85"
"1138","Carlia","vivax","Lepidosauria",41.3,"Greer_1980",NA,"Carlia vivax",NA,NA,NA,TRUE,1.7,"46.1"
"1139","Cryptoblepharus","litoralis","Lepidosauria",41.4,"Greer_1980",NA,"Cryptoblepharus litoralis",NA,NA,NA,TRUE,1.1,"42.48"
"1140","Cryptoblepharus","plagiocephalus","Lepidosauria",43.1,"Greer_1980",NA,"Cryptoblepharus plagiocephalus",NA,NA,NA,TRUE,1,"39.3"
"1141","Cryptoblepharus","virgatus","Lepidosauria",41.1,"Greer_1980",NA,"Cryptoblepharus virgatus",NA,NA,NA,TRUE,0.6,"38.4"
"1148","Hemiergis","quadrilineatum","Lepidosauria",38.1,"Greer_1980",NA,"Hemiergis quadrilineatum",NA,NA,NA,TRUE,3,"75"
"1154","Morethia","butleri","Lepidosauria",44.6,"Greer_1980",NA,"Morethia butleri",NA,NA,NA,TRUE,1.6,"49.55"
"1155","Morethia","lineoocellata","Lepidosauria",44.6,"Greer_1980",NA,"Morethia lineoocellata",NA,NA,NA,TRUE,1,"47"
"1156","Morethia","obscura","Lepidosauria",42.3,"Greer_1980",NA,"Morethia obscura",NA,NA,NA,TRUE,6,"55"
"1158","Niveoscincus","coventryi","Lepidosauria",40.2,"Greer_1980",NA,"Niveoscincus coventryi",NA,NA,NA,TRUE,0.9,"32.9"
"1163","Zootoca","vivipara","Lepidosauria",43.9,"Gvozdik_&_Castilla_2001","1.9","Zootoca vivipara",NA,NA,NA,TRUE,3.9,"50.99"
"1164","Ctenophorus","nuchalis","Lepidosauria",48.5,"Heatwole_1970",NA,"Ctenophorus nuchalis",NA,NA,NA,TRUE,27,"95.25"
"1165","Ctenotus","pantherinus","Lepidosauria",36.9,"Heatwole_1976",NA,"Ctenotus pantherinus",NA,NA,NA,TRUE,13.2,"82.7"
"1168","Tiliqua","scincoides","Lepidosauria",43.9,"Heatwole_et_al_1973",NA,"Tiliqua scincoides",NA,NA,NA,TRUE,499.8,"306.5"
"1174","Anolis","semilineatus","Lepidosauria",39.6,"Hertz_1979",NA,"Anolis semilineatus",NA,NA,NA,TRUE,1.5,"41.25"
"1177","Trapelus","savignii","Lepidosauria",47.2,"Hertz_et_al_1983","12","Trapelus savignii",NA,NA,NA,TRUE,33,"92.25"
"1179","Basiliscus","vittatus","Lepidosauria",43.1,"Hirth_1963",NA,"Basiliscus vittatus",NA,NA,NA,TRUE,70,"137.45"
"1180","Takydromus","formosanus","Lepidosauria",43.3,"Huang_&_Tu_2008a","5","Takydromus formosanus",NA,NA,NA,TRUE,2.7,"46.63"
"1181","Takydromus","hsuehshanensis","Lepidosauria",43.5,"Huang_&_Tu_2008a","2.5","Takydromus hsuehshanensis",NA,NA,NA,TRUE,4.7,"59.5"
"1182","Takydromus","stejnegeri","Lepidosauria",43.4,"Huang_&_Tu_2008a","5.7","Takydromus stejnegeri",NA,NA,NA,TRUE,3.1,"54.4"
"1189","Coleonyx","brevis","Lepidosauria",41.6,"Huey_et_al_1989a","8.5","Coleonyx brevis","Coleonyx variegatus brevis",NA,NA,TRUE,3.2,"56.05"
"1190","Coleonyx","variegatus","Lepidosauria",43,"Huey_et_al_1989a","7.6","Coleonyx variegatus","Stenodactylus variegatus",NA,NA,TRUE,3.9,"59.83"
"1191","Hemidactylus","frenatus","Lepidosauria",42.4,"Huey_et_al_1989a","11.9","Hemidactylus frenatus",NA,NA,NA,TRUE,3.3,"49.2"
"1192","Hemidactylus","turcicus","Lepidosauria",41.1,"Huey_et_al_1989a","10.5","Hemidactylus turcicus",NA,NA,NA,TRUE,2.8,"47.1"
"1196","Sphaerodactylus","macrolepis","Lepidosauria",39.4,"Huey_et_al_2009","11.3","Sphaerodactylus macrolepis",NA,NA,29.5,TRUE,0.5,"35"
"1197","Sphaerodactylus","nicholsi","Lepidosauria",39.5,"Huey_et_al_2009","11.4","Sphaerodactylus nicholsi",NA,NA,31.1,TRUE,0.3,"20"
"1202","Sceloporus","merriami","Lepidosauria",41.5,"Huey_unpubl_data_in_Huey_et_al_2012","14.1","Sceloporus merriami",NA,NA,NA,TRUE,4.3,"49.91"
"1205","Xantusia","vigilis","Lepidosauria",40.5,"Kaufmann_&_Bennett_1989","4.5","Xantusia vigilis",NA,NA,31.7,TRUE,1.5,"40.95"
"1206","Platysaurus","intermedius","Lepidosauria",44.8,"Lailvaux_et_al_2003","8.8","Platysaurus intermedius",NA,NA,33,TRUE,23.5,"87.5"
"1207","Sceloporus","grammicus","Lepidosauria",41.8,"Lemos-Espinal_&_Ballinger_1995",NA,"Sceloporus grammicus",NA,NA,NA,TRUE,6.1,"56.49"
"1209","Urosaurus","ornatus","Lepidosauria",43.1,"Lowe_&_Vance_1955",NA,"Urosaurus ornatus","Uta ornata",NA,NA,TRUE,3.4,"50.87"
